"","Name","Price","Rating","Reviews","Ratings"
"138","Razer Wolverine V2 Pro - Wireless Pro Gaming Controller for PS5 Consoles and PC (HyperSpeed Wireless, Mecha-Tactile Action Buttons, 8-Way Microswitch D-Pad, HyperTrigger) Mercury  ","£58.32£58.32","2,593","4.3 out of 5 stars",NA
"139",NA,"£53.99£53.99",NA,"4 Stars & Up",NA
"140",NA,"£40.18£40.18",NA,"3 Stars & Up",NA
"141",NA,"£66.66£66.66",NA,"2 Stars & Up",NA
"142",NA,"£53.25£53.25",NA,"1 Star & Up",NA
"143",NA,"£179.99£179.99",NA,NA,NA
"144",NA,"£224.99£224.99",NA,NA,NA
"145",NA,NA,NA,NA,NA
"146",NA,NA,NA,NA,NA
"147",NA,NA,NA,NA,NA
"148",NA,NA,NA,NA,NA
"149",NA,NA,NA,NA,NA
"150",NA,NA,NA,NA,NA
"151",NA,NA,NA,NA,NA
"152",NA,NA,NA,NA,NA
"153","Combrite Falcon Gaming Keyboard And Mouse Set, TKL Compact Size, Rainbow LED Backlit, USB Wired Desktop Combo, UK Layout  ","£20.40£20.40","122","4.2 out of 5 stars",NA
"154","havit Mechanical Gaming Keyboard UK Layout Wired Red Switch 90 Keys TKL PBT Keycaps with Number Pad for PC/Laptop/Computer, Black  ","£37.49£37.49","717","4.4 out of 5 stars",NA
"155","Razer Barracuda X - Wireless Multi-platform Gaming and Mobile Headset (SmartSwitch Dual Wireless, Ergonomic Design, TriForce 40 mm, Cardioid Mic, On-Headset Controls, 50h Battery USB-C) Black  ","£58.49£58.49","1,383","4.1 out of 5 stars",NA
"156","SteelSeries Aerox 3 Wireless - Super Light Wireless Gaming Mouse - 18,000 CPI TrueMove Air Optical Sensor - 200 Hour Battery Life - Black  ","£89.99£89.99","5,132","4.3 out of 5 stars",NA
"157","Logitech G Pro X Superlight 2 Lightspeed Wireless Gaming Mouse, German Packaging - Black  ","£35.82£35.82","111","4.5 out of 5 stars",NA
